"gender,event,medal,athlete,abb,country,type,year"
"Men,Double FITA Round Paraplegic,Gold,GRUN Guy,BEL,Unknown,Archery,1984"
"Men,Double FITA Round Paraplegic,Silver,WEIJERS J.,NED,Unknown,Archery,1984"
"Men,Double FITA Round Paraplegic,Bronze,LAUKKANEN Heikki,FIN,Unknown,Archery,1984"
"Men,Double FITA Round Tetraplegic,Gold,LETTNER Felix,AUT,Unknown,Archery,1984"
"Men,Double FITA Round Tetraplegic,Silver,KONEMAN K.,NED,Unknown,Archery,1984"
"Men,Double FITA Round Tetraplegic,Bronze,STEBEKK Oddbjorn,NOR,Unknown,Archery,1984"
"Men,Double Short Metric Round Paraplegic,Gold,BAUDOIS Michel,SUI,Unknown,Archery,1984"
"Men,Double Short Metric Round Paraplegic,Silver,KIM H. S.,KOR,Unknown,Archery,1984"
"Men,Double Short Metric Round Paraplegic,Bronze,DE MASI Pasquale,ITA,Unknown,Archery,1984"
"Men,Double Short Metric Round Tetraplegic,Gold,HOLM Kenneth,SWE,Unknown,Archery,1984"
"Men,Double Short Metric Round Tetraplegic,Silver,-,,Unknown,Archery,1984"
"Men,Double Short Metric Round Tetraplegic,Bronze,-,,Unknown,Archery,1984"
"Men,Double Advanced Metric Round Paraplegic,Gold,CHAPUIS J. M.,FRA,Unknown,Archery,1984"
"Men,Double Advanced Metric Round Paraplegic,Silver,BOUCHITE C.,FRA,Unknown,Archery,1984"
"Men,Double Advanced Metric Round Paraplegic,Bronze,KRISHNER Patrick,USA,Unknown,Archery,1984"
"Men,Double Advanced Metric Round Tetraplegic,Gold,FRANK Gerhard,AUT,Unknown,Archery,1984"
"Men,Double Advanced Metric Round Tetraplegic,Silver,TREWHELLA Ian,AUS,Unknown,Archery,1984"
"Men,Double Advanced Metric Round Tetraplegic,Bronze,ARNOLD Ernest,GBR,Unknown,Archery,1984"
"Women,Double FITA Round Div. 3,Gold,HILDERLEY Helen,GBR,Unknown,Archery,1984"
"Women,Double FITA Round Div. 3,Silver,LEAPER Beverley,GBR,Unknown,Archery,1984"
"Women,Double FITA Round Div. 3,Bronze,-,,Unknown,Archery,1984"
"Women,Double FITA Round Integrated,Gold,DERSEN Anneliese,FRG,Unknown,Archery,1984"
"Women,Double FITA Round Integrated,Silver,LACOMBLEZ Martine,BEL,Unknown,Archery,1984"
"Women,Double FITA Round Integrated,Bronze,MONACO Irene,ITA,Unknown,Archery,1984"
"Women,Double FITA Round Paraplegic,Gold,HAGEL Susan,USA,Unknown,Archery,1984"
"Women,Double FITA Round Paraplegic,Silver,SUZUKI Hifumi,JPN,Unknown,Archery,1984"
"Women,Double FITA Round Paraplegic,Bronze,DAVIES Susan,AUS,Unknown,Archery,1984"
"Women,Double Short Metric Round Paraplegic,Gold,BALME M. P.,FRA,Unknown,Archery,1984"
"Women,Double Short Metric Round Paraplegic,Silver,SCHWEIZER Rosa,AUT,Unknown,Archery,1984"
"Women,Double Short Metric Round Paraplegic,Bronze,GRAY Anne,GBR,Unknown,Archery,1984"
"Men,Double FITA Round Team 1A-6,Gold,Anonymous,BEL,Belgium,Archery,1984"
"Men,Double FITA Round Team 1A-6,Silver,Anonymous,NED,Netherlands,Archery,1984"
"Men,Double FITA Round Team 1A-6,Bronze,Anonymous,GBR,Great Britain,Archery,1984"
"Men,Double FITA Round Team Integrated,Gold,AHLINDER S.BABKIN Nicolai,SWE,Sweden,Archery,1984"
"Men,Double FITA Round Team Integrated,Gold,TJERNELL Arne,SWE,Sweden,Archery,1984"
"Men,Double FITA Round Team Integrated,Silver,DUCRET Rene,FRA,France,Archery,1984"
"Men,Double FITA Round Team Integrated,Silver,HAMART George,FRA,France,Archery,1984"
"Men,Double FITA Round Team Integrated,Silver,LELON Daniel,FRA,France,Archery,1984"
"Men,Double FITA Round Team Integrated,Bronze,BOECKERS Manfred,FRG,FR Germany,Archery,1984"
"Men,Double FITA Round Team Integrated,Bronze,BRENNE Manfred,FRG,FR Germany,Archery,1984"
"Men,Double FITA Round Team Integrated,Bronze,BUTENHOFF Kilmar,FRG,FR Germany,Archery,1984"
"Men,Short Metric Round Team 1A-6,Gold,Anonymous,FRA,France,Archery,1984"
"Men,Short Metric Round Team 1A-6,Silver,Anonymous,AUS,Australia,Archery,1984"
"Men,Short Metric Round Team 1A-6,Bronze,Anonymous,GBR,Great Britain,Archery,1984"
"Men,Double Advanced Metric Round Team 1A-6,Gold,Anonymous,FRA,France,Archery,1984"
"Men,Double Advanced Metric Round Team 1A-6,Silver,Anonymous,,-,Archery,1984"
"Men,Double Advanced Metric Round Team 1A-6,Bronze,Anonymous,,-,Archery,1984"
"Men,""Single FITA Round C7,C8"",Gold,KUYS Alfons,BEL,Unknown,Archery,1988"
"Men,""Single FITA Round C7,C8"",Silver,TASHIRO Kiyotaka,JPN,Unknown,Archery,1988"
"Men,""Single FITA Round C7,C8"",Bronze,KIM Kyung Sun,KOR,Unknown,Archery,1988"
"Men,Double FITA Round Open,Gold,AN Tae Sung,KOR,Unknown,Archery,1988"
"Men,Double FITA Round Open,Silver,SCALISI Carmelo,BEL,Unknown,Archery,1988"
"Men,Double FITA Round Open,Bronze,REBOLLO Antonio,ESP,Unknown,Archery,1988"
"Men,Double FITA Round 2-6,Gold,BAUDOIS Michel,SUI,Unknown,Archery,1988"
"Men,Double FITA Round 2-6,Silver,KIM Hee Sook,KOR,Unknown,Archery,1988"
"Men,Double FITA Round 2-6,Bronze,WOLF Udo,FRG,Unknown,Archery,1988"
"Men,Double Short Metric Round 1A-1C,Gold,RANTAVOURI Martti,FIN,Unknown,Archery,1988"
"Men,Double Short Metric Round 1A-1C,Silver,FUJII Narumi,JPN,Unknown,Archery,1988"
"Men,Double Short Metric Round 1A-1C,Bronze,STAUNER Michael,USA,Unknown,Archery,1988"
"Women,Double FITA Round Open,Gold,LEE Kyung Hee,KOR,Unknown,Archery,1988"
"Women,Double FITA Round Open,Silver,DERSEN Anneliese,FRG,Unknown,Archery,1988"
"Women,Double FITA Round Open,Bronze,MORGENSEN Birthe,DEN,Unknown,Archery,1988"
"Women,Double FITA Round 2-6,Gold,WATTS Karen,GBR,Unknown,Archery,1988"
"Women,Double FITA Round 2-6,Silver,KORVA Elli,FIN,Unknown,Archery,1988"
"Women,Double FITA Round 2-6,Bronze,FANTATO Paola,ITA,Unknown,Archery,1988"
"Men,Double FITA Round Team Open,Gold,AN Tae Sung,KOR,Korea,Archery,1988"
"Men,Double FITA Round Team Open,Gold,CHO Hyun Kwan,KOR,Korea,Archery,1988"
"Men,Double FITA Round Team Open,Gold,KIM Sung Hee,KOR,Korea,Archery,1988"
"Men,Double FITA Round Team Open,Gold,LEE Hak Young,KOR,Korea,Archery,1988"
"Men,Double FITA Round Team Open,Silver,KALLUNKI Keijo,FIN,Finland,Archery,1988"
"Men,Double FITA Round Team Open,Silver,TIRRONEN Raimo,FIN,Finland,Archery,1988"
"Men,Double FITA Round Team Open,Silver,VIINIKKA Veijo,FIN,Finland,Archery,1988"
"Men,Double FITA Round Team Open,Bronze,COURTILLON Lucien,FRA,France,Archery,1988"
"Men,Double FITA Round Team Open,Bronze,FAVRE Jean-Michel,FRA,France,Archery,1988"
"Men,Double FITA Round Team Open,Bronze,LELOU Daniel,FRA,France,Archery,1988"
"Men,Double FITA Round Team 2-6,Gold,JANG Ki Ki,KOR,Korea,Archery,1988"
"Men,Double FITA Round Team 2-6,Gold,KIM Hee Sook,KOR,Korea,Archery,1988"
"Men,Double FITA Round Team 2-6,Gold,KIM Ho Sung,KOR,Korea,Archery,1988"
"Men,Double FITA Round Team 2-6,Gold,YOON Choon Heung,KOR,Korea,Archery,1988"
"Men,Double FITA Round Team 2-6,Silver,AMADI Fabio,ITA,Italy,Archery,1988"
"Men,Double FITA Round Team 2-6,Silver,GABELLI Giuseppe,ITA,Italy,Archery,1988"
"Men,Double FITA Round Team 2-6,Silver,KOTEN Giuliano,ITA,Italy,Archery,1988"
"Men,Double FITA Round Team 2-6,Silver,PIZZORNI Orazio,ITA,Italy,Archery,1988"
"Men,Double FITA Round Team 2-6,Bronze,INOUE Yoshihiro,JPN,Japan,Archery,1988"
"Men,Double FITA Round Team 2-6,Bronze,OKANISHI Michio,JPN,Japan,Archery,1988"
"Men,Double FITA Round Team 2-6,Bronze,UCHIYAMA Junji,JPN,Japan,Archery,1988"
"Men,Double FITA Round Team 2-6,Bronze,YOSHIDA Shigetoshi,JPN,Japan,Archery,1988"
"Women,Double FITA Round Team 2-6,Gold,ANIC Wilma,GBR,Great Britain,Archery,1988"
"Women,Double FITA Round Team 2-6,Gold,COOPER Joan,GBR,Great Britain,Archery,1988"
"Women,Double FITA Round Team 2-6,Gold,WATTS Karen,GBR,Great Britain,Archery,1988"
"Women,Double FITA Round Team 2-6,Silver,DROSDZIOK Ursula,FRG,FR Germany,Archery,1988"
"Women,Double FITA Round Team 2-6,Silver,ENZMANN Inge,FRG,FR Germany,Archery,1988"
"Women,Double FITA Round Team 2-6,Silver,KIEBLICH Karin,FRG,FR Germany,Archery,1988"
"Women,Double FITA Round Team 2-6,Bronze,COLLIN Sirkka Liisa,FIN,Finland,Archery,1988"
"Women,Double FITA Round Team 2-6,Bronze,JOKIVIRTA Hilkka,FIN,Finland,Archery,1988"
"Women,Double FITA Round Team 2-6,Bronze,KORVA Elli,FIN,Finland,Archery,1988"
"Men,Individual AR1,Gold,MINAMI Koichi,JPN,Unknown,Archery,1992"
"Men,Individual AR1,Silver,SPIZZIRRI Richard,USA,Unknown,Archery,1992"
"Men,Individual AR1,Bronze,MERCANDELLI Giampiero,ITA,Unknown,Archery,1992"
"Men,Individual AR2,Gold,PIZZORNI Orazio,ITA,Unknown,Archery,1992"
"Men,Individual AR2,Silver,NORTMANN Hermann,GER,Unknown,Archery,1992"
"Men,Individual AR2,Bronze,WOLF Udo,GER,Unknown,Archery,1992"
"Men,Individual Open,Gold,FUDGE Jens,DEN,Unknown,Archery,1992"
"Men,Individual Open,Silver,NISHII Kenichi,JPN,Unknown,Archery,1992"
"Men,Individual Open,Bronze,CHO Hyun Kwan,KOR,Unknown,Archery,1992"
"Women,Individual AR2,Gold,FANTATO Paola,ITA,Unknown,Archery,1992"
"Women,Individual AR2,Silver,KORVA Elli,FIN,Unknown,Archery,1992"
"Women,Individual AR2,Bronze,SUZUKI Hifumi,JPN,Unknown,Archery,1992"
"Women,Individual Open,Gold,GRISHKO Tatiana,EUN,Unknown,Archery,1992"
"Women,Individual Open,Silver,THULIN Siv,SWE,Unknown,Archery,1992"
"Women,Individual Open,Bronze,TVED Hanne,DEN,Unknown,Archery,1992"
"Men,Teams AR2,Gold,BAHLS Karl,GER,Germany,Archery,1992"
"Men,Teams AR2,Gold,NORTMANN Hermann,GER,Germany,Archery,1992"
"Men,Teams AR2,Gold,WOLF Udo,GER,Germany,Archery,1992"
"Men,Teams AR2,Silver,GABELLI Giuseppe,ITA,Italy,Archery,1992"
"Men,Teams AR2,Silver,MALOVINI Luciano,ITA,Italy,Archery,1992"
"Men,Teams AR2,Silver,PIZZORNI Orazio,ITA,Italy,Archery,1992"
"Men,Teams AR2,Bronze,CHOI Jang Sub,KOR,Korea,Archery,1992"
"Men,Teams AR2,Bronze,JANG Ki Ki,KOR,Korea,Archery,1992"
"Men,Teams AR2,Bronze,LEE Ouk Soo,KOR,Korea,Archery,1992"
"Men,Teams Open,Gold,CHO Hyun Kwan,KOR,Korea,Archery,1992"
"Men,Teams Open,Gold,KIM Sung Hee,KOR,Korea,Archery,1992"
"Men,Teams Open,Gold,LEE Hak Young,KOR,Korea,Archery,1992"
"Men,Teams Open,Silver,FERNANDEZ Jose,ESP,Spain,Archery,1992"
"Men,Teams Open,Silver,HERMOSIN Jose Luis,ESP,Spain,Archery,1992"
"Men,Teams Open,Silver,REBOLLO Antonio,ESP,Spain,Archery,1992"
"Men,Teams Open,Bronze,FAVRE Jean-Michel,FRA,France,Archery,1992"
"Men,Teams Open,Bronze,GARCIA Jean Francois,FRA,France,Archery,1992"
"Men,Teams Open,Bronze,LE BRAS Rene,FRA,France,Archery,1992"
"Men,Individual W1,Gold,RANTAVOURI Martti,FIN,Unknown,Archery,1996"
