"gender,event,medal,athlete,abb,country,type,year"
"Men,Javelin A3A9,Gold,BURSCHGENS Hubert,FRG,Unknown,Athletics,1988"
"Men,Javelin A3A9,Silver,KUMTAN Sakul,THA,Unknown,Athletics,1988"
"Men,Javelin A3A9,Bronze,TYNAN Ronan,IRL,Unknown,Athletics,1988"
"Men,Javelin A4A9,Gold,KASMA Erkki,FIN,Unknown,Athletics,1988"
"Men,Javelin A4A9,Silver,ENRIGHT James,CAN,Unknown,Athletics,1988"
"Men,Javelin A4A9,Bronze,SUN Chang Ting,CHN,Unknown,Athletics,1988"
"Men,Javelin A6A8A9L6,Gold,ROTH Harald,AUT,Unknown,Athletics,1988"
"Men,Javelin A6A8A9L6,Silver,DABROWSKI Jerzy,POL,Unknown,Athletics,1988"
"Men,Javelin A6A8A9L6,Bronze,OGURA Toshiaki,JPN,Unknown,Athletics,1988"
"Men,Javelin A1-3A9L3,Gold,KARPINSKI Slawomir,POL,Unknown,Athletics,1988"
"Men,Javelin A1-3A9L3,Silver,BELANGER John,CAN,Unknown,Athletics,1988"
"Men,Javelin A1-3A9L3,Bronze,JEROME John,USA,Unknown,Athletics,1988"
"Men,Javelin B1,Gold,GUIRNUS Vitautas,URS,Unknown,Athletics,1988"
"Men,Javelin B1,Silver,SULISALO Timo,FIN,Unknown,Athletics,1988"
"Men,Javelin B1,Bronze,OZAKI Mineho,JPN,Unknown,Athletics,1988"
"Men,Javelin B2,Gold,MOKHIR Alexandre,URS,Unknown,Athletics,1988"
"Men,Javelin B2,Silver,HEIKKINEN Raimo,FIN,Unknown,Athletics,1988"
"Men,Javelin B2,Bronze,GODLEWSKI Andrzej,POL,Unknown,Athletics,1988"
"Men,Javelin B3,Gold,SHORT Russell,AUS,Unknown,Athletics,1988"
"Men,Javelin B3,Silver,BRZEGOWSKI Jan,POL,Unknown,Athletics,1988"
"Men,Javelin B3,Bronze,KOLYVANOV Andrei,URS,Unknown,Athletics,1988"
"Men,Javelin C4,Gold,WALKER Michael,GBR,Unknown,Athletics,1988"
"Men,Javelin C4,Silver,BURNS Norman,GBR,Unknown,Athletics,1988"
"Men,Javelin C4,Bronze,ANUNDSEN Ragnar,NOR,Unknown,Athletics,1988"
"Men,Javelin C5,Gold,WILLIAMS Paul,GBR,Unknown,Athletics,1988"
"Men,Javelin C5,Silver,JOHNSON Denton,USA,Unknown,Athletics,1988"
"Men,Javelin C5,Bronze,QUICKERT Michael,FRG,Unknown,Athletics,1988"
"Men,Javelin C6,Gold,KWON Tae Joon,KOR,Unknown,Athletics,1988"
"Men,Javelin C6,Silver,SILVA Claudio Nunes,BRA,Unknown,Athletics,1988"
"Men,Javelin C6,Bronze,KRIEGER Stefan,FRG,Unknown,Athletics,1988"
"Men,Javelin C7,Gold,MAKINEN Antti,FIN,Unknown,Athletics,1988"
"Men,Javelin C7,Silver,KOH Jang Hwan,KOR,Unknown,Athletics,1988"
"Men,Javelin C7,Bronze,AMUNDSEN Knut,NOR,Unknown,Athletics,1988"
"Men,Javelin L4,Gold,HAYDEN Ian,GBR,Unknown,Athletics,1988"
"Men,Javelin L4,Silver,DANBERG Scott,USA,Unknown,Athletics,1988"
"Men,Javelin L4,Bronze,MALISZEWSKI Miroslaw,POL,Unknown,Athletics,1988"
"Men,Javelin L5,Gold,MIMBERG Dirk,FRG,Unknown,Athletics,1988"
"Men,Javelin L5,Silver,REZAII Ahmad,IRI,Unknown,Athletics,1988"
"Men,Javelin L5,Bronze,LADERVAL Eric,FRA,Unknown,Athletics,1988"
"Men,Javelin 2,Gold,WALLRODT Bruce,AUS,Unknown,Athletics,1988"
"Men,Javelin 2,Silver,LEINONEN Matti,FIN,Unknown,Athletics,1988"
"Men,Javelin 2,Bronze,NORTMANN Hermann,FRG,Unknown,Athletics,1988"
"Men,Javelin 3,Gold,LAVEBORN Mats,SWE,Unknown,Athletics,1988"
"Men,Javelin 3,Silver,SALEVA Mikael,FIN,Unknown,Athletics,1988"
"Men,Javelin 3,Bronze,PETERNELJ Marjan,YUG,Unknown,Athletics,1988"
"Men,Javelin 4,Gold,YAR-AHMADI Mohammad-Hadi,IRI,Unknown,Athletics,1988"
"Men,Javelin 4,Silver,DAVIS Jefferson,JAM,Unknown,Athletics,1988"
"Men,Javelin 4,Bronze,SCHUHBAUER Johann,FRG,Unknown,Athletics,1988"
"Men,Javelin 5,Gold,ABDOLLAHZADEH Javad,IRI,Unknown,Athletics,1988"
"Men,Javelin 5,Silver,MOSOTI Samson,KEN,Unknown,Athletics,1988"
"Men,Javelin 5,Bronze,JONES Leslie,GBR,Unknown,Athletics,1988"
"Men,Javelin 6,Gold,AL-KHULEFI Adnan,KUW,Unknown,Athletics,1988"
"Men,Javelin 6,Silver,WOLF Nachman,ISR,Unknown,Athletics,1988"
"Men,Javelin 6,Bronze,MOHAMED Aly,KUW,Unknown,Athletics,1988"
"Men,Club Throw 1A,Gold,WEBER Edund,FRG,Unknown,Athletics,1988"
"Men,Club Throw 1A,Silver,HAYLAN Jose Daniel,ARG,Unknown,Athletics,1988"
"Men,Club Throw 1A,Bronze,D'AGOSTINI Paolo,ITA,Unknown,Athletics,1988"
"Men,Club Throw C2,Gold,PARK Se Ho,KOR,Unknown,Athletics,1988"
"Men,Club Throw C2,Silver,VARDEN Steven,GBR,Unknown,Athletics,1988"
"Men,Club Throw C2,Bronze,LEAHY Thomas,IRL,Unknown,Athletics,1988"
"Men,Club Throw C4,Gold,WALKER Michael,GBR,Unknown,Athletics,1988"
"Men,Club Throw C4,Silver,BURNS Norman,GBR,Unknown,Athletics,1988"
"Men,Club Throw C4,Bronze,FUCHS Josef,AUT,Unknown,Athletics,1988"
"Men,Club Throw C5,Gold,WILLIAMS Paul,GBR,Unknown,Athletics,1988"
"Men,Club Throw C5,Silver,JOHNSON Denton,USA,Unknown,Athletics,1988"
"Men,Club Throw C5,Bronze,QUICKERT Michael,FRG,Unknown,Athletics,1988"
"Men,Club Throw C6,Gold,MATSUI Naoki,JPN,Unknown,Athletics,1988"
"Men,Club Throw C6,Silver,KWON Tae Joon,KOR,Unknown,Athletics,1988"
"Men,Club Throw C6,Bronze,AL-MUTAIRI Fahed,KUW,Unknown,Athletics,1988"
"Men,Distance Throw C1,Gold,KU Keung Ho,KOR,Unknown,Athletics,1988"
"Men,Distance Throw C1,Silver,LEE Keung Ho,KOR,Unknown,Athletics,1988"
"Men,Distance Throw C1,Bronze,YUN Ji Hwan,KOR,Unknown,Athletics,1988"
"Men,Precision Throw C1,Gold,KU Keung Ho,KOR,Unknown,Athletics,1988"
"Men,Precision Throw C1,Silver,AMIN Jayesh,USA,Unknown,Athletics,1988"
"Men,Precision Throw C1,Bronze,MARQUES Antonio,POR,Unknown,Athletics,1988"
"Men,Kick Ball C2,Gold,MCCORMACK Michael,IRL,Unknown,Athletics,1988"
"Men,Kick Ball C2,Silver,BALTAZAR Manuel,POR,Unknown,Athletics,1988"
"Men,Kick Ball C2,Bronze,BOLAND David,IRL,Unknown,Athletics,1988"
"Men,Pentathlon 1C,Gold,HENKER Siegmar,FRG,Unknown,Athletics,1988"
"Men,Pentathlon 1C,Silver,PEREIRA Luis Claudio,BRA,Unknown,Athletics,1988"
"Men,Pentathlon 1C,Bronze,ETZLSTORFER Christoph,AUT,Unknown,Athletics,1988"
"Men,Pentathlon A4A9,Gold,HARTL Manfred,AUT,Unknown,Athletics,1988"
"Men,Pentathlon A4A9,Silver,THOMAS Bradley,AUS,Unknown,Athletics,1988"
"Men,Pentathlon A4A9,Bronze,KURIS Alessandro,ITA,Unknown,Athletics,1988"
"Men,Pentathlon B1,Gold,GUIRNUS Vitautas,URS,Unknown,Athletics,1988"
"Men,Pentathlon B1,Silver,SEVASTIANOV Sergei,URS,Unknown,Athletics,1988"
"Men,Pentathlon B1,Bronze,KUBACKI Zbigniew,POL,Unknown,Athletics,1988"
"Men,Pentathlon B2,Gold,KALMYKOV Vadim,URS,Unknown,Athletics,1988"
"Men,Pentathlon B2,Silver,MOKHIR Alexandre,URS,Unknown,Athletics,1988"
"Men,Pentathlon B2,Bronze,OSMON James,USA,Unknown,Athletics,1988"
"Men,Pentathlon B3,Gold,CHEPEL Oleg,URS,Unknown,Athletics,1988"
"Men,Pentathlon B3,Silver,ARGILLANDER Hannu,FIN,Unknown,Athletics,1988"
"Men,Pentathlon B3,Bronze,WARD Jonathan,GBR,Unknown,Athletics,1988"
"Men,Pentathlon 2,Gold,NORTMANN Hermann,FRG,Unknown,Athletics,1988"
"Men,Pentathlon 2,Silver,LEINONEN Matti,FIN,Unknown,Athletics,1988"
"Men,Pentathlon 2,Bronze,SAUNDERS Kevin,USA,Unknown,Athletics,1988"
"Men,Pentathlon 3,Gold,WEIDKAMP Peter,FRG,Unknown,Athletics,1988"
"Men,Pentathlon 3,Silver,LOISINGER Josef,AUT,Unknown,Athletics,1988"
"Men,Pentathlon 3,Bronze,MISTURINI Renato,ITA,Unknown,Athletics,1988"
"Men,Pentathlon 4,Gold,PFALLER Walter,AUT,Unknown,Athletics,1988"
"Men,Pentathlon 4,Silver,VAN OPHEM Remi,BEL,Unknown,Athletics,1988"
"Men,Pentathlon 4,Bronze,SCHUHBAUER Johann,FRG,Unknown,Athletics,1988"
"Men,Pentathlon 5,Gold,VAN DEN ABBEELE Rudi,FRA,Unknown,Athletics,1988"
"Men,Pentathlon 5,Silver,WEIBERLE Eugen,FRG,Unknown,Athletics,1988"
"Men,Pentathlon 5,Bronze,HARRIS John,GBR,Unknown,Athletics,1988"
"Men,Pentathlon 6,Gold,AL-KHULEFI Adnan,KUW,Unknown,Athletics,1988"
"Men,Pentathlon 6,Silver,WOLF Nachman,ISR,Unknown,Athletics,1988"
"Men,Pentathlon 6,Bronze,VARELA Ernesto,MEX,Unknown,Athletics,1988"
"Women,100 m 1C,Gold,TORRES Leticia,MEX,Unknown,Athletics,1988"
"Women,100 m 1C,Silver,HANSEN Yolande,FRG,Unknown,Athletics,1988"
"Women,100 m 1C,Bronze,THOMPSON Mary,USA,Unknown,Athletics,1988"
"Women,100 m A4A9,Gold,POUMEROL Claude,CAN,Unknown,Athletics,1988"
"Women,100 m A4A9,Silver,MOELLER Reinhild,FRG,Unknown,Athletics,1988"
"Women,100 m A4A9,Bronze,GAMBAL Karin,AUT,Unknown,Athletics,1988"
"Women,100 m A6A8A9L4,Gold,BUDDELMEYER Petra,FRG,Unknown,Athletics,1988"
"Women,100 m A6A8A9L4,Silver,SACHSE Jessica,FRG,Unknown,Athletics,1988"
"Women,100 m A6A8A9L4,Bronze,WILDEMAN Lynette,CAN,Unknown,Athletics,1988"
"Women,100 m A1-3A9L2,Gold,BAEK Min Ae,KOR,Unknown,Athletics,1988"
"Women,100 m A1-3A9L2,Silver,DECONDE Valerie,FRA,Unknown,Athletics,1988"
"Women,100 m A1-3A9L2,Bronze,HAMILTON Linda,CAN,Unknown,Athletics,1988"
"Women,100 m B1,Gold,SANTAMARTA Purificacion,ESP,Unknown,Athletics,1988"
"Women,100 m B1,Silver,KIM Bang Wol,KOR,Unknown,Athletics,1988"
"Women,100 m B1,Bronze,INVERNI Rossella,ITA,Unknown,Athletics,1988"
"Women,100 m B2,Gold,JOURAVLIOVA Raissa,URS,Unknown,Athletics,1988"
"Women,100 m B2,Silver,SANTOS Adria Rocha,BRA,Unknown,Athletics,1988"
"Women,100 m B2,Bronze,BATALOVA Rimma,URS,Unknown,Athletics,1988"
"Women,100 m B3,Gold,ZHAO Jihong,CHN,Unknown,Athletics,1988"
"Women,100 m B3,Silver,MANCKTELOW Lesli,NZL,Unknown,Athletics,1988"
"Women,100 m B3,Bronze,LEJA Helena,POL,Unknown,Athletics,1988"
"Women,100 m C6,Gold,ANDREY Zita,SUI,Unknown,Athletics,1988"
"Women,100 m C6,Silver,MALSAR Marcia,BRA,Unknown,Athletics,1988"
"Women,100 m C6,Bronze,SAUVE Sylvie,CAN,Unknown,Athletics,1988"
"Women,100 m C7,Gold,WARD Theresa,IRL,Unknown,Athletics,1988"
"Women,100 m C7,Silver,VESTENGEN Siw Kristin,NOR,Unknown,Athletics,1988"
"Women,100 m C7,Bronze,ROTH Leslie,USA,Unknown,Athletics,1988"
"Women,100 m C8,Gold,ROCK Alma,IRL,Unknown,Athletics,1988"
"Women,100 m C8,Silver,OKADA Maki,JPN,Unknown,Athletics,1988"
"Women,100 m C8,Bronze,MCMAHON Camilla,IRL,Unknown,Athletics,1988"
"Women,100 m 2,Gold,PORCELLATO Francesca,ITA,Unknown,Athletics,1988"
"Women,100 m 2,Silver,ZAJAC Brenda,USA,Unknown,Athletics,1988"
"Women,100 m 2,Bronze,GARCIA ESTRADA Dora Elia,MEX,Unknown,Athletics,1988"
"Women,100 m 3,Gold,BULLERI Sabrina,ITA,Unknown,Athletics,1988"
"Women,100 m 3,Silver,KOSTELYK Debbi,CAN,Unknown,Athletics,1988"
"Women,100 m 3,Bronze,LEE Min Ok,KOR,Unknown,Athletics,1988"
"Women,100 m 4,Gold,RAMSEY Charla,USA,Unknown,Athletics,1988"
"Women,100 m 4,Silver,VAZQUEZ Cecilia,MEX,Unknown,Athletics,1988"
"Women,100 m 4,Bronze,POLLET Marie-Line,BEL,Unknown,Athletics,1988"
"Women,100 m 5-6,Gold,SOTO Juana,MEX,Unknown,Athletics,1988"
"Women,100 m 5-6,Bronze,MCINTYRE Deahnne,AUS,Unknown,Athletics,1988"
"Women,200 m 1C,Gold,TORRES Leticia,MEX,Unknown,Athletics,1988"
"Women,200 m 1C,Silver,HANSEN Yolande,FRG,Unknown,Athletics,1988"
"Women,200 m 1C,Bronze,WATERS Jean,USA,Unknown,Athletics,1988"
"Women,200 m A4A9,Gold,MOELLER Reinhild,FRG,Unknown,Athletics,1988"
"Women,200 m A4A9,Silver,POUMEROL Claude,CAN,Unknown,Athletics,1988"
"Women,200 m A4A9,Bronze,GAMBAL Karin,AUT,Unknown,Athletics,1988"
"Women,200 m A6A8A9L4,Gold,BUDDELMEYER Petra,FRG,Unknown,Athletics,1988"
"Women,200 m A6A8A9L4,Silver,SACHSE Jessica,FRG,Unknown,Athletics,1988"
"Women,200 m A6A8A9L4,Bronze,WILDEMAN Lynette,CAN,Unknown,Athletics,1988"
"Women,200 m A1-3A9L2,Gold,BAEK Min Ae,KOR,Unknown,Athletics,1988"
"Women,200 m A1-3A9L2,Silver,DECONDE Valerie,FRA,Unknown,Athletics,1988"
"Women,200 m A1-3A9L2,Bronze,HAMILTON Linda,CAN,Unknown,Athletics,1988"
"Women,200 m C7,Gold,VESTENGEN Siw Kristin,NOR,Unknown,Athletics,1988"
"Women,200 m C7,Silver,CABRAL Maria Albertina,POR,Unknown,Athletics,1988"
"Women,200 m C7,Bronze,PAYNE Jacquelyn,USA,Unknown,Athletics,1988"
"Women,200 m C8,Gold,BERGERON Sylvie,CAN,Unknown,Athletics,1988"
"Women,200 m C8,Silver,MCCOY Tiffani,USA,Unknown,Athletics,1988"
"Women,200 m C8,Bronze,SAEGER Annette,FRG,Unknown,Athletics,1988"
"Women,200 m 2,Gold,ZAJAC Brenda,USA,Unknown,Athletics,1988"
"Women,200 m 2,Silver,PORCELLATO Francesca,ITA,Unknown,Athletics,1988"
"Women,200 m 2,Bronze,WALTERS Ann,USA,Unknown,Athletics,1988"
"Women,200 m 3,Gold,BULLERI Sabrina,ITA,Unknown,Athletics,1988"
"Women,200 m 3,Silver,DURKIN Patricia,USA,Unknown,Athletics,1988"
"Women,200 m 3,Bronze,RAMSEY Sherry Ann,USA,Unknown,Athletics,1988"
"Women,200 m 4,Gold,VAZQUEZ Cecilia,MEX,Unknown,Athletics,1988"
"Women,200 m 4,Silver,POLLET Marie-Line,BEL,Unknown,Athletics,1988"
"Women,200 m 4,Bronze,RAMSEY Charla,USA,Unknown,Athletics,1988"
"Women,200 m 5-6,Gold,MCINTYRE Deahnne,AUS,Unknown,Athletics,1988"
"Women,200 m 5-6,Silver,SOTO Juana,MEX,Unknown,Athletics,1988"
"Women,200 m 5-6,Bronze,DRISCOLL Jean,USA,Unknown,Athletics,1988"
"Women,400 m 1C,Gold,TORRES Leticia,MEX,Unknown,Athletics,1988"
"Women,400 m 1C,Silver,HANSEN Yolande,FRG,Unknown,Athletics,1988"
"Women,400 m 1C,Bronze,WATERS Jean,USA,Unknown,Athletics,1988"
"Women,400 m A6A8A9L4,Gold,BUDDELMEYER Petra,FRG,Unknown,Athletics,1988"
"Women,400 m A6A8A9L4,Silver,TERVONEN Tanja,FIN,Unknown,Athletics,1988"
"Women,400 m A6A8A9L4,Bronze,SACHSE Jessica,FRG,Unknown,Athletics,1988"
"Women,400 m A1-3A9L2,Gold,DECONDE Valerie,FRA,Unknown,Athletics,1988"
"Women,400 m A1-3A9L2,Silver,HAMILTON Linda,CAN,Unknown,Athletics,1988"
"Women,400 m A1-3A9L2,Bronze,BAEK Min Ae,KOR,Unknown,Athletics,1988"
"Women,400 m B1,Gold,PANKOVA Tamara,URS,Unknown,Athletics,1988"
"Women,400 m B1,Silver,SANTAMARTA Purificacion,ESP,Unknown,Athletics,1988"
"Women,400 m B1,Bronze,INVERNI Rossella,ITA,Unknown,Athletics,1988"
"Women,400 m B2,Gold,BATALOVA Rimma,URS,Unknown,Athletics,1988"
"Women,400 m B2,Silver,SANTOS Adria Rocha,BRA,Unknown,Athletics,1988"
"Women,400 m B2,Bronze,HERMANY Anelise,BRA,Unknown,Athletics,1988"
"Women,400 m B3,Gold,ZHAO Jihong,CHN,Unknown,Athletics,1988"
"Women,400 m B3,Silver,LEJA Helena,POL,Unknown,Athletics,1988"
"Women,400 m B3,Bronze,CHMIDEK Danute,URS,Unknown,Athletics,1988"
"Women,400 m C7,Gold,VESTENGEN Siw Kristin,NOR,Unknown,Athletics,1988"
"Women,400 m C7,Silver,CABRAL Maria Albertina,POR,Unknown,Athletics,1988"
"Women,400 m C7,Bronze,ATKINS Sonja,CAN,Unknown,Athletics,1988"
"Women,400 m C8,Gold,OKADA Maki,JPN,Unknown,Athletics,1988"
"Women,400 m C8,Silver,BERGERON Sylvie,CAN,Unknown,Athletics,1988"
"Women,400 m C8,Bronze,SAEGER Annette,FRG,Unknown,Athletics,1988"
"Women,400 m 2,Gold,LAURIDSEN Ingrid,DEN,Unknown,Athletics,1988"
"Women,400 m 2,Silver,MCLELLAN Yvette,AUS,Unknown,Athletics,1988"
"Women,400 m 2,Bronze,WALTERS Ann,USA,Unknown,Athletics,1988"
"Women,400 m 3,Gold,DURKIN Patricia,USA,Unknown,Athletics,1988"
"Women,400 m 3,Silver,JUTZELER Daniela,SUI,Unknown,Athletics,1988"
"Women,400 m 3,Bronze,GREY Tanni,GBR,Unknown,Athletics,1988"
"Women,400 m 4,Gold,HANSEN Connie,DEN,Unknown,Athletics,1988"
"Women,400 m 4,Silver,VAZQUEZ Cecilia,MEX,Unknown,Athletics,1988"
"Women,400 m 4,Bronze,HILL Maria,USA,Unknown,Athletics,1988"
"Women,400 m 5-6,Gold,SOTO Juana,MEX,Unknown,Athletics,1988"
"Women,400 m 5-6,Silver,MCINTYRE Deahnne,AUS,Unknown,Athletics,1988"
"Women,400 m 5-6,Bronze,DRISCOLL Jean,USA,Unknown,Athletics,1988"
"Women,800 m 1C,Gold,TORRES Leticia,MEX,Unknown,Athletics,1988"
"Women,800 m 1C,Silver,GOSSIAUX Florence,FRA,Unknown,Athletics,1988"
"Women,800 m 1C,Bronze,HANSEN Yolande,FRG,Unknown,Athletics,1988"
"Women,800 m A1-3A9L2,Gold,JANSEN Janet,NED,Unknown,Athletics,1988"
"Women,800 m A1-3A9L2,Silver,HAMILTON Linda,CAN,Unknown,Athletics,1988"
"Women,800 m A1-3A9L2,Bronze,DECONDE Valerie,FRA,Unknown,Athletics,1988"
"Women,800 m B1,Gold,PANKOVA Tamara,URS,Unknown,Athletics,1988"
"Women,800 m B1,Silver,INVERNI Rossella,ITA,Unknown,Athletics,1988"
"Women,800 m B1,Bronze,OKIC Refija,YUG,Unknown,Athletics,1988"
"Women,800 m B2,Gold,BATALOVA Rimma,URS,Unknown,Athletics,1988"
"Women,800 m B2,Silver,HERMANY Anelise,BRA,Unknown,Athletics,1988"
"Women,800 m B2,Bronze,MCCLEAN Paige,USA,Unknown,Athletics,1988"
"Women,800 m B3,Gold,EGENSTEINER Patti,USA,Unknown,Athletics,1988"
"Women,800 m B3,Silver,CHMIDEK Danute,URS,Unknown,Athletics,1988"
"Women,800 m B3,Bronze,LACOUR Stephanie,USA,Unknown,Athletics,1988"
"Women,800 m C7,Gold,MOUCHA Susan,USA,Unknown,Athletics,1988"
"Women,800 m C7,Silver,LORINCZ Norma,CAN,Unknown,Athletics,1988"
"Women,800 m C7,Bronze,HEAD Racquel,CAN,Unknown,Athletics,1988"
"Women,800 m C8,Gold,OKADA Maki,JPN,Unknown,Athletics,1988"
"Women,800 m C8,Silver,BUCHAN Barbara,USA,Unknown,Athletics,1988"
"Women,800 m C8,Bronze,SAEGER Annette,FRG,Unknown,Athletics,1988"
"Women,800 m 2,Gold,LAURIDSEN Ingrid,DEN,Unknown,Athletics,1988"
"Women,800 m 2,Silver,CODY-MORRIS Ann,USA,Unknown,Athletics,1988"
"Women,800 m 2,Bronze,ZAJAC Brenda,USA,Unknown,Athletics,1988"
"Women,800 m 3,Gold,CABLE-BROOKS Candace,USA,Unknown,Athletics,1988"
"Women,800 m 3,Silver,RAMSEY Sherry Ann,USA,Unknown,Athletics,1988"
"Women,800 m 3,Bronze,JUTZELER Daniela,SUI,Unknown,Athletics,1988"
"Women,800 m 4,Gold,HANSEN Connie,DEN,Unknown,Athletics,1988"
"Women,800 m 4,Silver,MILLER Tracy,USA,Unknown,Athletics,1988"
"Women,800 m 4,Bronze,MCSHANE Kay,IRL,Unknown,Athletics,1988"
"Women,1500 m 1C,Gold,HANSEN Yolande,FRG,Unknown,Athletics,1988"
"Women,1500 m 1C,Silver,TORRES Leticia,MEX,Unknown,Athletics,1988"
"Women,1500 m 1C,Bronze,JANNETTE Monique,USA,Unknown,Athletics,1988"
"Women,1500 m A1-3A9L2,Gold,JANSEN Janet,NED,Unknown,Athletics,1988"
"Women,1500 m A1-3A9L2,Silver,HUNTER Sacajuwea,USA,Unknown,Athletics,1988"
"Women,1500 m A1-3A9L2,Bronze,HAMILTON Linda,CAN,Unknown,Athletics,1988"
"Women,1500 m B1,Gold,PANKOVA Tamara,URS,Unknown,Athletics,1988"
"Women,1500 m B1,Silver,INVERNI Rossella,ITA,Unknown,Athletics,1988"
"Women,1500 m B1,Bronze,OKIC Refija,YUG,Unknown,Athletics,1988"
"Women,1500 m 2,Gold,QUELL Margit,FRG,Unknown,Athletics,1988"
"Women,1500 m 2,Silver,CODY-MORRIS Ann,USA,Unknown,Athletics,1988"
"Women,1500 m 2,Bronze,LAURIDSEN Ingrid,DEN,Unknown,Athletics,1988"
"Women,1500 m 3,Gold,CABLE-BROOKS Candace,USA,Unknown,Athletics,1988"
"Women,1500 m 3,Silver,RAMSEY Sherry Ann,USA,Unknown,Athletics,1988"
"Women,1500 m 3,Bronze,JUTZELER Daniela,SUI,Unknown,Athletics,1988"
"Women,1500 m 4,Gold,HANSEN Connie,DEN,Unknown,Athletics,1988"
"Women,1500 m 4,Silver,MILLER Maria Tracy,USA,Unknown,Athletics,1988"
"Women,1500 m 4,Bronze,HILL Maria,USA,Unknown,Athletics,1988"
"Women,3000 m A1-3A9L2,Gold,JANSEN Janet,NED,Unknown,Athletics,1988"
"Women,3000 m A1-3A9L2,Silver,HUNTER Sacajuwea,USA,Unknown,Athletics,1988"
"Women,3000 m A1-3A9L2,Bronze,KANG Myung Soon,KOR,Unknown,Athletics,1988"
"Women,5000 m 2,Gold,QUELL Margit,FRG,Unknown,Athletics,1988"
"Women,5000 m 2,Silver,CODY-MORRIS Ann,USA,Unknown,Athletics,1988"
"Women,5000 m 2,Bronze,LAURIDSEN Ingrid,DEN,Unknown,Athletics,1988"
"Women,5000 m 4,Gold,HANSEN Connie,DEN,Unknown,Athletics,1988"
"Women,5000 m 4,Silver,MILLER Tracy,USA,Unknown,Athletics,1988"
"Women,5000 m 4,Bronze,DE CRAENE Chris,BEL,Unknown,Athletics,1988"
"Women,10000 m 2,Gold,QUELL Margit,FRG,Unknown,Athletics,1988"
"Women,10000 m 2,Silver,CODY-MORRIS Ann,USA,Unknown,Athletics,1988"
"Women,10000 m 2,Bronze,LAURIDSEN Ingrid,DEN,Unknown,Athletics,1988"
"Women,Marathon 2,Gold,OOTHOU Tami,USA,Unknown,Athletics,1988"
"Women,Marathon 2,Silver,WALTERS Ann,USA,Unknown,Athletics,1988"
"Women,Marathon 2,Bronze,HILL Patricia,NZL,Unknown,Athletics,1988"
"Women,Marathon 3,Gold,CABLE-BROOKS Candace,USA,Unknown,Athletics,1988"
"Women,Marathon 3,Silver,RAMSEY Sherry Ann,USA,Unknown,Athletics,1988"
"Women,Marathon 3,Bronze,MAEDA Itsuko,JPN,Unknown,Athletics,1988"
"Women,Marathon 4,Gold,HANSEN Connie,DEN,Unknown,Athletics,1988"
"Women,Marathon 4,Silver,MILLER Tracy,USA,Unknown,Athletics,1988"
"Women,Marathon 4,Bronze,MCSHANE Kay,IRL,Unknown,Athletics,1988"
"Women,Slalom C1,Gold,TAYLOR Kerry,GBR,Unknown,Athletics,1988"
"Women,Slalom C1,Silver,JOHNSON Carol,GBR,Unknown,Athletics,1988"
"Women,Slalom C1,Bronze,GRAYBEAL Lee,USA,Unknown,Athletics,1988"
"Women,Slalom 3,Gold,ITO Yumi,JPN,Unknown,Athletics,1988"
"Women,Slalom 3,Silver,WATANUKI Michiyo,JPN,Unknown,Athletics,1988"
"Women,Slalom 3,Bronze,HILL Patricia,NZL,Unknown,Athletics,1988"
"Women,Slalom 4,Gold,SAKAUCHI Rumi,JPN,Unknown,Athletics,1988"
"Women,Slalom 4,Silver,CHO Hyun Hee,KOR,Unknown,Athletics,1988"
"Women,Slalom 4,Bronze,IMAIZUMI Schiharu,JPN,Unknown,Athletics,1988"
"Women,Long Jump B1,Gold,VAN RIJSWIJK Joke,NED,Unknown,Athletics,1988"
"Women,Long Jump B1,Silver,SANTAMARTA Purificacion,ESP,Unknown,Athletics,1988"
"Women,Long Jump B1,Bronze,BENNETT Lori,USA,Unknown,Athletics,1988"
"Women,Long Jump B2,Gold,JOURAVLIOVA Raissa,URS,Unknown,Athletics,1988"
"Women,Long Jump B2,Silver,SUSITZ Mariano,AUT,Unknown,Athletics,1988"
"Women,Long Jump B2,Bronze,ULLMANN Mona,NOR,Unknown,Athletics,1988"
"Women,Long Jump B3,Gold,EGENSTEINER Patti,USA,Unknown,Athletics,1988"
"Women,Long Jump B3,Silver,ZHAO Jihong,CHN,Unknown,Athletics,1988"
"Women,Long Jump B3,Bronze,MANCKTELOW Lesli,NZL,Unknown,Athletics,1988"
"Women,Shot Put 1B,Gold,BUSTAMANTE Isabel,PUR,Unknown,Athletics,1988"
"Women,Shot Put 1B,Silver,BARR Isabel,GBR,Unknown,Athletics,1988"
"Women,Shot Put 1B,Bronze,WILSON Minette,JAM,Unknown,Athletics,1988"
"Women,Shot Put B1,Gold,MOLSEED Patricia,AUS,Unknown,Athletics,1988"
"Women,Shot Put B1,Silver,ROSS Denise,GBR,Unknown,Athletics,1988"
"Women,Shot Put B1,Bronze,LOVEGROVE Trish,CAN,Unknown,Athletics,1988"
"Women,Shot Put B2,Gold,VUKSANOVIC Nada,YUG,Unknown,Athletics,1988"
"Women,Shot Put B2,Silver,ULLMANN Mona,NOR,Unknown,Athletics,1988"
"Women,Shot Put B2,Bronze,WUBISIC Ljiliana,CAN,Unknown,Athletics,1988"
"Women,Shot Put C3,Gold,EDWARDS Susan,USA,Unknown,Athletics,1988"
